BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
OPS Printers,E0,,,JC69-04,BOX UNIT-FRU,"1,5",JC69-04444A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,"7,2",JC69-04435B,100,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,"2,3",JC69-04378B,100,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX UNIT-FRU,"2,4",JC69-04366A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-DRAM MASTER,"0,01",JC69-04345A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,"11,5",JC69-04343B,70,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,"BOX-STAND M4580,CB,Flexo4(DW,Flexo,Yello","0,01",JC69-04340A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-DEVE MASTER,"2,6",JC69-04319A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-04,BOX-MAIN,"5,4",JC69-04240A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,MASTER BOX-VAP ETC,"6,6",JC69-04207B,100,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIN,6,JC69-04193A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-SCF,"0,01",JC69-04168A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIL,"0,01",JC69-04113A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-2BIN FINISHER,"0,01",JC69-04094A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-04,BOX UNIT-VAP ETC,12,JC69-04071B,112,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIN,8,JC69-04029E,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-04,BOX-MAIN,"3,2",JC69-04029A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-03,BOX UNIT-CASSETTE FEEDER,"10,5",JC69-03997B,10,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,"BOX-DCF X4300,CB,Flexo4(DW,Flexo,Yellow)","5,2",JC69-03997A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,"BOX-MAIN TOP K4350,CB,Flexo4(DW,Flexo,Ye",3,JC69-03996A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,"BOX-MAIN SL-M2022W,CB,Offset2(DW,Offset,","2,2",JC69-03993A,10,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,BOX-HPU,"0,01",JC69-03982A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,BOX-MAIN TOP,"4,6",JC69-03954A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-03,BOX-UNIT,"0,01",JC69-03928A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-03,BOX-MASTER,"0,01",JC69-03926A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
